,observation,action,reward,next_observation,done
0,"[ 0.   0.   1.   0.   1.   1.   1.   1.   0.   1.   0.   0.   0.   1.
  0.   0.   0.   0.   1.   0.   0.   0.   0.   1.  -0.6  0.1]",5,-3.5,"[ 0.   0.   0.   1.   1.   0.   1.   0.   1.   1.   1.   1.   1.   1.
  0.   0.   0.   1.   1.   0.   0.   0.   1.   1.  -0.5  0. ]",False
1,"[ 0.   0.   0.   1.   1.   0.   1.   0.   1.   1.   1.   1.   1.   1.
  0.   0.   0.   1.   1.   0.   0.   0.   1.   1.  -0.5  0. ]",3,-3.0,"[ 0.   0.   0.   1.   1.   0.   0.   0.   1.   1.   0.   1.   1.   1.
  1.   1.   0.   1.   1.   0.   0.   0.   1.   1.  -0.4  0. ]",False
2,"[ 0.   0.   0.   1.   1.   0.   0.   0.   1.   1.   0.   1.   1.   1.
  1.   1.   0.   1.   1.   0.   0.   0.   1.   1.  -0.4  0. ]",3,-2.5,"[ 0.   0.   0.   1.   1.   0.   0.   0.   1.   1.   0.   0.   1.   1.
  0.   1.   0.   1.   1.   1.   1.   0.   1.   1.  -0.3  0. ]",False
3,"[ 0.   0.   0.   1.   1.   0.   0.   0.   1.   1.   0.   0.   1.   1.
  0.   1.   0.   1.   1.   1.   1.   0.   1.   1.  -0.3  0. ]",3,-2.0,"[ 0.   0.   3.   1.   1.   0.   0.   0.   1.   1.   0.   0.   1.   1.
  0.   0.   0.   1.   1.   0.   1.   0.   1.   1.  -0.2  0. ]",False
4,"[ 0.   0.   3.   1.   1.   0.   0.   0.   1.   1.   0.   0.   1.   1.
  0.   0.   0.   1.   1.   0.   1.   0.   1.   1.  -0.2  0. ]",3,-1.5,"[ 1.   1.   1.   1.   1.   0.   0.   3.   1.   1.   0.   0.   1.   1.
  0.   0.   0.   1.   1.   0.   0.   0.   1.   1.  -0.1  0. ]",False
5,"[ 1.   1.   1.   1.   1.   0.   0.   3.   1.   1.   0.   0.   1.   1.
  0.   0.   0.   1.   1.   0.   0.   0.   1.   1.  -0.1  0. ]",3,20,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1. 1.
 0. 0.]",True
6,"[ 0.   0.   0.   1.   1.   0.   0.   0.   1.   1.   0.   0.   1.   1.
  0.   0.   0.   1.   1.   0.   0.   0.   1.   1.   0.  -0.6]",1,-3.5,"[ 0.   0.   0.   0.   1.   0.   0.   0.   0.   1.   0.   0.   0.   1.
  0.   0.   0.   0.   1.   0.   0.   0.   0.   1.   0.  -0.5]",False
7,"[ 0.   0.   0.   0.   1.   0.   0.   0.   0.   1.   0.   0.   0.   1.
  0.   0.   0.   0.   1.   0.   0.   0.   0.   1.   0.  -0.5]",2,-3.0615528128088303,"[ 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  1.   0.   0.   0.   0.   1.   1.   1.   0.   0.  -0.1 -0.4]",False
8,"[ 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  1.   0.   0.   0.   0.   1.   1.   1.   0.   0.  -0.1 -0.4]",1,-2.58113883008419,"[ 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   1.   0.   0.   0.
  1.   1.   0.   0.   0.   0.   1.   1.   1.   0.  -0.1 -0.3]",False
9,"[ 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   1.   0.   0.   0.
  1.   1.   0.   0.   0.   0.   1.   1.   1.   0.  -0.1 -0.3]",1,-2.118033988749895,"[ 0.   0.   0.   0.   0.   3.   0.   0.   0.   0.   1.   1.   0.   0.
  1.   1.   1.   0.   0.   0.   0.   1.   1.   1.  -0.1 -0.2]",False
10,"[ 0.   0.   0.   0.   0.   3.   0.   0.   0.   0.   1.   1.   0.   0.
  1.   1.   1.   0.   0.   0.   0.   1.   1.   1.  -0.1 -0.2]",3,-2.0,"[ 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   3.   0.   0.   0.
  1.   1.   0.   0.   0.   1.   1.   1.   0.   0.   0.  -0.2]",False
