,observation,action,reward,next_observation,done
0,"[ 0.   0.   2.   0.   1.   0.   0.   0.   0.   1.   0.   3.   0.   1.
  0.   0.   0.   2.   1.   0.   0.   0.   0.   1.  -0.1 -0.3]",0,-2.0,"[ 0.   0.   2.   0.   0.   0.   0.   0.   0.   0.   3.   2.   0.   0.
  0.   0.   3.   2.   0.   0.   0.   0.   0.   0.   0.  -0.2]",False
1,"[ 0.   3.   0.   0.   0.   0.   0.   0.   0.   0.   1.   0.   2.   0.
  1.   0.   0.   0.   0.   0.   3.   2.   0.   0.  -0.2 -0.1]",3,-1.7071067811865475,"[ 0.   0.   0.   0.   0.   0.   3.   0.   0.   0.   0.   0.   0.   0.
  1.   0.   2.   0.   0.   1.   0.   0.   0.   0.  -0.1 -0.1]",False
2,"[0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  3.  2.  0.  0.  0.  0.  3.  2.
 0.  0.  0.  0.  0.  0.  0.1 0. ]",4,25,"[0. 0. 0. 0. 0. 3. 0. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]",True
3,"[ 0.   0.   2.   0.   0.   0.   0.   0.   0.   0.   3.   2.   0.   0.
  0.   0.   3.   2.   0.   0.   0.   0.   0.   0.   0.  -0.2]",4,-2.118033988749895,"[ 0.   0.   0.   0.   0.   3.   0.   2.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.1 -0.2]",False
4,"[ 0.   0.   0.   0.   0.   0.   3.   0.   0.   0.   0.   0.   0.   0.
  1.   0.   2.   0.   0.   1.   0.   0.   0.   0.  -0.1 -0.1]",1,-1.5,"[ 0.   0.   0.   0.   0.   0.   0.   3.   0.   0.   1.   0.   2.   0.
  1.   1.   0.   0.   0.   1.   1.   0.   0.   0.  -0.1  0. ]",False
5,"[ 0.   0.   0.   0.   0.   3.   0.   2.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.1 -0.2]",1,-1.7071067811865475,"[ 1.   0.   0.   0.   0.   0.   3.   0.   0.   0.   0.   0.   2.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.1 -0.1]",False
6,"[ 0.   0.   0.   0.   0.   0.   0.   3.   0.   0.   1.   0.   2.   0.
  1.   1.   0.   0.   0.   1.   1.   0.   0.   0.  -0.1  0. ]",1,-1.7071067811865475,"[ 0.   0.   0.   0.   0.   0.   0.   0.   3.   0.   0.   1.   2.   0.
  0.   1.   1.   0.   0.   1.   1.   1.   0.   0.  -0.1  0.1]",False
7,"[ 1.   0.   0.   0.   0.   0.   3.   0.   0.   0.   0.   0.   2.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.1 -0.1]",0,25,"[1. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 3. 0. 0. 0. 0. 0.
 0. 0.]",True
8,"[ 0.   0.   0.   0.   0.   0.   0.   0.   3.   0.   0.   1.   2.   0.
  0.   1.   1.   0.   0.   1.   1.   1.   0.   0.  -0.1  0.1]",5,25,"[1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 2. 0. 0. 0. 1. 1. 0. 0. 0.
 0. 0.]",True
9,"[ 0.   1.   0.   0.   0.   0.   0.   1.   0.   0.   0.   0.   0.   0.
  1.   1.   1.   1.   1.   1.   1.   1.   1.   1.  -0.4  0.4]",5,-3.1213203435596424,"[ 1.   1.   0.   0.   1.   1.   0.   0.   0.   0.   0.   1.   0.   0.
  0.   2.   0.   0.   0.   1.   1.   1.   1.   1.  -0.3  0.3]",False
10,"[ 0.   0.   0.   2.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  1.   1.   0.   0.   1.   1.   0.   0.   0.   0.   0.4 -0.5]",7,-4.354101966249685,"[ 0.   0.   0.   0.   0.   0.   2.   0.   0.   3.   1.   0.   1.   0.
  0.   0.   0.   0.   1.   1.   0.   0.   0.   0.   0.3 -0.6]",False
11,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  2.  0.  0.  3.  0.2 0.3]",7,-2.118033988749895,"[0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  2.  0.  0.  3.
 3.  0.  0.  1.  0.  0.  0.1 0.2]",False
12,"[ 1.   1.   0.   0.   1.   1.   0.   0.   0.   0.   0.   1.   0.   0.
  0.   2.   0.   0.   0.   1.   1.   1.   1.   1.  -0.3  0.3]",5,-2.414213562373095,"[ 0.   0.   0.   0.   3.   1.   0.   2.   1.   0.   0.   0.   0.   1.
  1.   2.   0.   0.   0.   0.   0.   0.   0.   0.  -0.2  0.2]",False
13,"[ 0.   0.   0.   0.   0.   0.   2.   0.   0.   3.   1.   0.   1.   0.
  0.   0.   0.   0.   1.   1.   0.   0.   0.   0.   0.3 -0.6]",2,-3.692582403567252,"[ 0.   0.   0.   0.   0.   1.   1.   0.   2.   1.   1.   0.   0.   0.
  0.   1.   2.   0.   0.   0.   0.   0.   0.   0.   0.2 -0.5]",False
14,"[0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  2.  0.  0.  3.
 3.  0.  0.  1.  0.  0.  0.1 0.2]",7,-1.5,"[0.  0.  0.  0.  1.  0.  2.  0.  0.  1.  0.  0.  3.  1.  2.  1.  0.  0.
 1.  0.  0.  1.  0.  1.  0.  0.1]",False
15,"[ 0.   0.   0.   0.   3.   1.   0.   2.   1.   0.   0.   0.   0.   1.
  1.   2.   0.   0.   0.   0.   0.   0.   0.   0.  -0.2  0.2]",6,-2.118033988749895,"[ 0.   0.   0.   2.   3.   0.   0.   1.   0.   0.   2.   2.   1.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.2  0.1]",False
